stage,cell_id,predictor,risk_policy,target_style,target_offset_m,ego_init_id,min_center_distance_m,min_footprint_separation_m,footprint_collision,conflict_point_x,conflict_point_y,yield_order_valid,clearance_time_gap_s,logged_footprint_margin_m
day10,B1_fixed_medium_assertive,B1,fixed_medium,assertive,0.0,48,4.607344794791494,1.1238280588666003,0,30.13093090057373,3.697999596595764,1,1.5000000223517418,0.25
day10,B1_fixed_medium_assertive,B1,fixed_medium,assertive,0.0,49,4.8048841155468995,1.3447483746359856,0,30.483301162719727,3.7617017030715942,1,1.4000000208616257,0.25
day10,B1_fixed_medium_assertive,B1,fixed_medium,assertive,0.0,50,5.127063022845788,1.7972486940575538,0,30.139363288879395,3.6695921421051025,1,1.3500000201165676,0.25
day10,B1_fixed_medium_reactive,B1,fixed_medium,reactive,0.0,46,4.3338736737638355,0.8439250634200585,0,30.224740028381348,3.7180769443511963,1,1.4500000216066837,0.25
day10,B1_fixed_medium_reactive,B1,fixed_medium,reactive,0.0,47,4.4925330162012465,1.0386985900543304,0,29.592382431030273,3.7443583011627197,1,1.1000000163912773,0.25
day10,B1_fixed_medium_reactive,B1,fixed_medium,reactive,0.0,48,4.5778544514987685,1.1185054978253999,0,30.083237648010254,3.6433290243148804,1,1.5000000223517418,0.25
day10,B1_fixed_medium_reactive,B1,fixed_medium,reactive,0.0,49,4.6126375608338375,1.1585835591023623,0,30.29560089111328,3.687324285507202,1,1.5000000223517418,0.25
day10,B1_fixed_medium_reactive,B1,fixed_medium,reactive,0.0,50,5.126656674568154,1.7972202793308303,0,30.13980197906494,3.669220805168152,1,1.3500000201165676,0.25
day11,B0_adaptive_assertive_offset_m3,B0,adaptive,assertive,-3.0,46,4.324624112545024,0.8370287739243075,0,30.187700271606445,3.7160327434539795,1,1.4000000208616257,0.25
day11,B0_adaptive_assertive_offset_m3,B0,adaptive,assertive,-3.0,47,4.805857221574643,1.531592968767848,0,30.204073905944824,3.651216149330139,1,1.2500000186264515,0.25
day11,B0_adaptive_assertive_offset_m3,B0,adaptive,assertive,-3.0,48,4.555587009401993,1.0942661858995795,0,30.195683479309082,3.7137296199798584,1,1.5500000230967999,0.25
day11,B0_adaptive_assertive_offset_m3,B0,adaptive,assertive,-3.0,49,4.6015733055696755,1.1459751803178315,0,30.22385883331299,3.7174075841903687,1,1.5000000223517418,0.25
day11,B0_adaptive_assertive_offset_m3,B0,adaptive,assertive,-3.0,50,5.049826273500873,1.7006297298009498,0,30.216825485229492,3.6762337684631348,1,1.2000000178813934,0.25
day11,B0_adaptive_assertive_offset_p3,B0,adaptive,assertive,3.0,46,4.840599901959434,1.424610870937228,0,30.31442356109619,3.764033794403076,1,1.4000000208616257,0.25
day11,B0_adaptive_assertive_offset_p3,B0,adaptive,assertive,3.0,47,5.457531701346952,2.399104948449219,0,30.652606964111328,3.6875725984573364,1,1.700000025331974,0.25
day11,B0_adaptive_assertive_offset_p3,B0,adaptive,assertive,3.0,48,4.813727610045758,1.3443117001965343,0,30.283625602722168,3.772365093231201,1,1.3500000201165676,0.25
day11,B0_adaptive_assertive_offset_p3,B0,adaptive,assertive,3.0,49,5.21902236520016,1.8620490047111558,0,30.420506477355957,3.6963835954666138,1,1.5000000223517418,0.25
day11,B0_adaptive_assertive_offset_p3,B0,adaptive,assertive,3.0,50,5.713586105673897,2.560917569895594,0,30.739116668701172,3.6853264570236206,1,1.750000026077032,0.25
day11,B0_adaptive_reactive_offset_m3,B0,adaptive,reactive,-3.0,46,4.321981982048199,0.8350587523883708,0,30.11353588104248,3.699769616127014,1,1.3500000201165676,0.25
day11,B0_adaptive_reactive_offset_m3,B0,adaptive,reactive,-3.0,47,4.5797443293334945,1.2588492758699676,0,30.258936882019043,3.7030001878738403,1,1.4000000208616257,0.25
day11,B0_adaptive_reactive_offset_m3,B0,adaptive,reactive,-3.0,48,4.578153263119887,1.1211388140404854,0,30.188416481018066,3.6917099952697754,1,1.5000000223517418,0.25
day11,B0_adaptive_reactive_offset_m3,B0,adaptive,reactive,-3.0,49,4.602603756999178,1.1494230957378415,0,30.18510913848877,3.6780353784561157,1,1.5000000223517418,0.25
day11,B0_adaptive_reactive_offset_m3,B0,adaptive,reactive,-3.0,50,4.899297949273494,1.528786447415288,0,30.209701538085938,3.6956558227539062,1,1.5000000223517418,0.25
day11,B0_adaptive_reactive_offset_p3,B0,adaptive,reactive,3.0,46,4.864532670271096,1.4978148173203212,0,30.279218673706055,3.7240601778030396,1,1.4000000208616257,0.25
day11,B0_adaptive_reactive_offset_p3,B0,adaptive,reactive,3.0,47,5.294994503530407,2.1693489041697758,0,30.327896118164062,3.658312439918518,1,1.5500000230967999,0.25
day11,B0_adaptive_reactive_offset_p3,B0,adaptive,reactive,3.0,48,4.812996106261528,1.343232042886178,0,30.284339904785156,3.7719268798828125,1,1.3500000201165676,0.25
day11,B0_adaptive_reactive_offset_p3,B0,adaptive,reactive,3.0,49,4.96310525286363,1.5519451692863895,0,30.021862030029297,3.6854870319366455,1,1.3500000201165676,0.25
day11,B0_adaptive_reactive_offset_p3,B0,adaptive,reactive,3.0,50,5.779073331565805,2.6511919633988117,0,30.775031089782715,3.7116777896881104,1,1.8000000268220901,0.25
day11,B0_fixed_medium_assertive_offset_m3,B0,fixed_medium,assertive,-3.0,46,4.331084628141131,0.8220087663268131,0,30.19817352294922,3.7039049863815308,1,1.4000000208616257,0.25
day11,B0_fixed_medium_assertive_offset_m3,B0,fixed_medium,assertive,-3.0,47,4.889272078083786,1.6366929927543665,0,30.259379386901855,3.679176092147827,1,1.3500000201165676,0.25
day11,B0_fixed_medium_assertive_offset_m3,B0,fixed_medium,assertive,-3.0,48,4.601666271584326,1.1330181198942735,0,29.773383140563965,3.689431071281433,1,1.5500000230967999,0.25
day11,B0_fixed_medium_assertive_offset_m3,B0,fixed_medium,assertive,-3.0,49,4.607432061375871,1.152176131084975,0,30.219379425048828,3.708040714263916,1,1.5000000223517418,0.25
day11,B0_fixed_medium_assertive_offset_m3,B0,fixed_medium,assertive,-3.0,50,5.052732814193812,1.7072547495010553,0,30.229352951049805,3.680447220802307,1,1.2000000178813934,0.25
day11,B0_fixed_medium_assertive_offset_p3,B0,fixed_medium,assertive,3.0,46,4.766073579783311,1.3627315889040674,0,29.972766876220703,3.633842945098877,1,1.2500000186264515,0.25
day11,B0_fixed_medium_assertive_offset_p3,B0,fixed_medium,assertive,3.0,47,5.157325436395004,1.9712263829645906,0,30.302398681640625,3.760209798812866,1,1.5500000230967999,0.25
day11,B0_fixed_medium_assertive_offset_p3,B0,fixed_medium,assertive,3.0,48,4.837410055356225,1.370176790247036,0,30.295554161071777,3.750827193260193,1,1.3500000201165676,0.25
day11,B0_fixed_medium_assertive_offset_p3,B0,fixed_medium,assertive,3.0,49,4.9674964145782265,1.5351177280861894,0,30.292431831359863,3.7232245206832886,1,1.4500000216066837,0.25
day11,B0_fixed_medium_assertive_offset_p3,B0,fixed_medium,assertive,3.0,50,5.447894571025435,2.1934152733894607,0,30.404562950134277,3.698800802230835,1,1.600000023841858,0.25
day11,B0_fixed_medium_reactive_offset_m3,B0,fixed_medium,reactive,-3.0,46,4.32134043389527,0.833643765285866,0,30.112059593200684,3.6998151540756226,1,1.3500000201165676,0.25
day11,B0_fixed_medium_reactive_offset_m3,B0,fixed_medium,reactive,-3.0,47,4.644590501951664,1.373765235429552,0,30.498351097106934,3.7358219623565674,1,1.600000023841858,0.25
day11,B0_fixed_medium_reactive_offset_m3,B0,fixed_medium,reactive,-3.0,48,4.573148139519563,1.1151347882304912,0,30.180252075195312,3.6962344646453857,1,1.5000000223517418,0.25
day11,B0_fixed_medium_reactive_offset_m3,B0,fixed_medium,reactive,-3.0,49,4.614787817008685,1.1633966090662182,0,30.18560218811035,3.668597459793091,1,1.5000000223517418,0.25
