baseline,split,rollout,ego_init_id,cell_id,target_style,response_active,ADE_m,FDE_m,diagonal_gaussian_NLL_nats_per_step
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.2151357688930422,0.23725636963774369,-2.407365213083853
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.36610020251010084,0.420421078567531,-2.2854146403334568
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.11667158813008324,0.24446063671042864,-2.392601194321756
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,1.8444933860243573,4.756599014938844,-2.095453079916074
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.3849783130419282,0.4385427370869798,-2.2689148545335724
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.30566821788689813,0.5540002672069296,-2.352710376430756
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.8225638649307465,1.8965865522280705,-2.3436203704668164
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.3343137492204256,0.39751753450572036,-2.294902946350594
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.06335288429697397,0.08111147775238921,-2.3905121082312717
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.9040316103695009,2.4311153088744177,-2.3966900886321887
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.3002849196862144,0.3679635284654573,-2.31389954792715
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.17842224876817134,0.3377104949378711,-2.388469852704155
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.9569622133719771,2.3598922845053933,-2.3507561384692948
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.3196205467315382,0.38235133506145835,-2.3071904293745615
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.12164414248761146,0.202187583009144,-2.389036080817193
