authority,authority_label,predictor,predictor_label,risk,risk_label,init_id,init_speed_mps,start_longitudinal_offset_m,execution_complete,competence_gate_pass,formal_rollout_pass,legacy_target_first_yield,completion_valid,fixed_geometry_outcome,early_conflict_entry,target_cleared_before_entry,never_entered_fixed_zone,footprint_collision,completion_time_s,min_footprint_separation_m,min_center_distance_m,solver_failure_fraction,average_solve_time_s,max_abs_lateral_error_m,completion_lateral_error_m,postcarla_status,postcarla_errors,rows,any_request_rows,post_request_rows,post_applied_rows,bypass_request_rows,bypass_applied_rows,solver_attempt_rows,solver_optimal_rows,actual_command_diff_rows,any_request_frac,post_applied_frac,bypass_applied_frac,solver_optimal_frac,actual_command_diff_frac
on,Authority on,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,129,8.289354794742726,-1.8591227838987705,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.75000013038516,1.4569850414885408,4.832650914005658,0.0,0.09014142421022728,1.1743570222138722,-0.008002475054931048,PASS,,176,127,38,38,31,31,145,145,34,0.7215909090909091,0.2159090909090909,0.17613636363636365,1.0,0.19318181818181818
on,Authority on,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,130,8.358482155458335,-1.909616548833755,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.75000013038516,1.4878262277583327,4.856314067939074,0.0,0.08777251326704547,1.2159742672487506,-0.0485958731721415,PASS,,176,127,40,40,31,31,145,145,36,0.7215909090909091,0.22727272727272727,0.17613636363636365,1.0,0.20454545454545456
on,Authority on,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,131,9.569346946598449,1.297250385425902,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.950000133365393,0.75127529528125,4.2250121519769,0.022222222222222223,0.09317632985227274,1.7174230099403829,-0.2985819301215428,PASS,,180,132,56,56,30,30,150,146,56,0.7333333333333333,0.3111111111111111,0.16666666666666666,0.9733333333333334,0.3111111111111111
on,Authority on,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,132,9.79084811322419,-2.057787427905799,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.950000133365393,1.3680418237866847,4.736313539470256,0.016666666666666666,0.09143255056497175,1.7614361843167545,-0.2729840423224044,PASS,,180,132,53,53,31,31,149,146,53,0.7333333333333333,0.29444444444444445,0.17222222222222222,0.9798657718120806,0.29444444444444445
on,Authority on,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,133,8.921468652144595,1.315758718031688,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.450000125914812,1.0814929415913344,4.51437332156313,0.011764705882352941,0.08987456901785715,1.4801706759676132,-0.19885752315129837,PASS,,170,132,42,42,26,26,144,142,42,0.7764705882352941,0.24705882352941178,0.15294117647058825,0.9861111111111112,0.24705882352941178
on,Authority on,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,134,8.07696736440444,-1.3019072300690582,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.650000128895044,1.3035358711239378,4.678886780984442,0.0,0.09416250851149426,1.2936166882687492,-0.0979216918750523,PASS,,174,123,39,39,24,24,150,150,39,0.7068965517241379,0.22413793103448276,0.13793103448275862,1.0,0.22413793103448276
on,Authority on,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,135,8.630610520425076,-0.4060810503853973,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.75000013038516,1.7313573003771845,5.04652042329347,0.011363636363636364,0.09497797606321838,1.8018466069321881,-0.34821731852895765,PASS,,176,130,40,40,30,30,146,144,39,0.7386363636363636,0.22727272727272727,0.17045454545454544,0.9863013698630136,0.2215909090909091
on,Authority on,P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,126,9.834648303069205,-1.8254717304050727,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.950000133365393,1.3015031311260103,4.6824014649192005,0.016666666666666666,0.07398021530508475,1.7440921258824986,-0.30538783847826045,PASS,,180,133,52,52,31,31,149,146,52,0.7388888888888889,0.28888888888888886,0.17222222222222222,0.9798657718120806,0.28888888888888886
on,Authority on,P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,127,8.160775432779605,1.9981926688404101,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.650000128895044,1.193644910327044,4.644440384667352,0.005747126436781609,0.07216542350867051,1.449864710176199,-0.1935385847095452,PASS,,174,132,46,46,30,30,144,143,31,0.7586206896551724,0.26436781609195403,0.1724137931034483,0.9930555555555556,0.1781609195402299
on,Authority on,P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,128,9.709431408440656,-1.0392541658079462,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.850000131875277,1.3618583027813442,4.7411582675777,0.02247191011235955,0.06860331638505747,1.645016610110748,-0.27070118302711965,PASS,,178,133,56,56,31,31,147,143,56,0.7471910112359551,0.3146067415730337,0.17415730337078653,0.9727891156462585,0.3146067415730337
on,Authority on,P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,129,8.289354794742726,-1.8591227838987705,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.75000013038516,1.4684477735838481,4.839222195200503,0.0,0.0695121346534091,1.1869683800458313,-0.021211486916281642,PASS,,176,127,39,39,31,31,145,145,35,0.7215909090909091,0.2215909090909091,0.17613636363636365,1.0,0.19886363636363635
on,Authority on,P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,130,8.358482155458335,-1.909616548833755,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.700000129640102,1.5620813848523964,4.903023955115889,0.0,0.07041194709714287,1.1895241700114332,-0.004088059466282728,PASS,,175,127,39,39,31,31,144,144,36,0.7257142857142858,0.22285714285714286,0.17714285714285713,1.0,0.2057142857142857
on,Authority on,P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,131,9.569346946598449,1.297250385425902,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.950000133365393,0.7412176342978146,4.216651524133061,0.022222222222222223,0.07851753323863636,1.6780881730168586,-0.29553695020646253,PASS,,180,132,56,56,30,30,150,146,56,0.7333333333333333,0.3111111111111111,0.16666666666666666,0.9733333333333334,0.3111111111111111
on,Authority on,P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,132,9.79084811322419,-2.057787427905799,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.950000133365393,1.3692462981742801,4.737302544731289,0.016666666666666666,0.07425342655367231,1.7638712135650152,-0.2857406666578927,PASS,,180,132,52,52,31,31,149,146,52,0.7333333333333333,0.28888888888888886,0.17222222222222222,0.9798657718120806,0.28888888888888886
on,Authority on,P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,133,8.921468652144595,1.315758718031688,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.450000125914812,1.0814310948605366,4.514286615600707,0.01764705882352941,0.07887703748502993,1.4902249590956087,-0.24775498932905046,PASS,,170,132,44,44,26,26,144,141,44,0.7764705882352941,0.25882352941176473,0.15294117647058825,0.9791666666666666,0.25882352941176473
on,Authority on,P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,134,8.07696736440444,-1.3019072300690582,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.700000129640102,1.3783450247195186,4.732503784002719,0.005714285714285714,0.08054740668390803,1.3819300866371806,-0.16830982108419823,PASS,,175,123,41,41,24,24,151,150,41,0.7028571428571428,0.2342857142857143,0.13714285714285715,0.9933774834437086,0.2342857142857143
on,Authority on,P_star,Transformer-adapted MultiPath,fixed_medium,Fixed medium,135,8.630610520425076,-0.4060810503853973,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.800000131130219,1.7926548946413217,5.096169242907964,0.011299435028248588,0.0749004998342857,1.863322703591496,-0.37353646198505747,PASS,,177,130,42,42,30,30,147,145,41,0.7344632768361582,0.23728813559322035,0.1694915254237288,0.9863945578231292,0.23163841807909605
off,Authority off,B1,Retrained MultiPath,adaptive,Adaptive,126,9.834648303069205,-1.8254717304050727,1,0,0,1,1,ego_entered_before_target_clearance,1,0,0,0,7.000000104308128,0.7799504101554013,3.937935558095227,0.14893617021276595,0.10496879323333334,5.840389561944087,1.3415131470096642,FAIL,Required policy solver_failure_frac=0.149 exceeds 0.050,141,133,125,0,26,0,141,120,0,0.9432624113475178,0.0,0.0,0.851063829787234,0.0
off,Authority off,B1,Retrained MultiPath,adaptive,Adaptive,127,8.160775432779605,1.9981926688404101,1,0,0,1,1,ego_entered_before_target_clearance,1,0,0,1,6.95000010356307,0.0,3.173294542416229,0.15714285714285714,0.10387773308474575,4.959343616001478,0.8353346241017836,FAIL,"Footprint collision with target_2: 0.20s, center dmin=3.173m | Required policy solver_failure_frac=0.157 exceeds 0.050",140,132,123,0,25,0,140,118,0,0.9428571428571428,0.0,0.0,0.8428571428571429,0.0
off,Authority off,B1,Retrained MultiPath,adaptive,Adaptive,128,9.709431408440656,-1.0392541658079462,1,0,0,1,1,ego_entered_before_target_clearance,1,0,0,0,6.850000102072954,0.4432631554669591,3.6679220944000828,0.15217391304347827,0.1047399367094017,5.5508700619333196,1.1218355050919817,FAIL,Required policy solver_failure_frac=0.152 exceeds 0.050,138,133,127,0,26,0,138,117,0,0.9637681159420289,0.0,0.0,0.8478260869565217,0.0
