predictor,risk_policy,target_style,ego_init_id,target_clearance_adjusted_completion_delay_s,min_footprint_separation_m,solver_failure_fraction,supervisor_active_fraction,footprint_collision,yield_order_valid,reactive_active_samples,target_offset_m,offset_label,source_batch,source_cell_id
B0,fixed_medium,reactive,49,9.100000135600567,1.53941094061475,0.018604651162790697,0.10232558139534884,0.0,1.0,0,3.0,p3,day11_shifted,B0_fixed_medium_reactive_offset_p3
B0,fixed_medium,reactive,50,10.650000158697367,2.2532605151680865,0.012195121951219513,0.08943089430894309,0.0,1.0,0,3.0,p3,day11_shifted,B0_fixed_medium_reactive_offset_p3
B1,adaptive,assertive,46,9.050000134855509,1.0894587581632922,0.0,0.15789473684210525,0.0,1.0,0,-3.0,m3,day11_shifted,B1_adaptive_assertive_offset_m3
B1,adaptive,assertive,47,7.450000111013651,0.9317100313466999,0.0,0.15736040609137056,0.0,1.0,0,-3.0,m3,day11_shifted,B1_adaptive_assertive_offset_m3
B1,adaptive,assertive,48,9.300000138580799,1.1115256578964077,0.0,0.17167381974248927,0.0,1.0,0,-3.0,m3,day11_shifted,B1_adaptive_assertive_offset_m3
B1,adaptive,assertive,49,8.300000123679638,1.177241050664736,0.0,0.1643192488262911,0.0,1.0,0,-3.0,m3,day11_shifted,B1_adaptive_assertive_offset_m3
B1,adaptive,assertive,50,8.600000128149986,1.0448783337202778,0.0,0.1461187214611872,0.0,1.0,0,-3.0,m3,day11_shifted,B1_adaptive_assertive_offset_m3
B1,adaptive,assertive,46,7.900000117719173,0.9861039421566887,0.005050505050505051,0.1414141414141414,0.0,1.0,0,0.0,0,day10_nominal,B1_adaptive_assertive
B1,adaptive,assertive,47,7.200000107288361,1.0344460919996392,0.0,0.12972972972972974,0.0,1.0,0,0.0,0,day10_nominal,B1_adaptive_assertive
B1,adaptive,assertive,48,10.500000156462193,1.1350885312938095,0.004,0.132,0.0,1.0,0,0.0,0,day10_nominal,B1_adaptive_assertive
B1,adaptive,assertive,49,8.200000122189522,1.3294770603890116,0.004901960784313725,0.13725490196078433,0.0,1.0,0,0.0,0,day10_nominal,B1_adaptive_assertive
B1,adaptive,assertive,50,8.75000013038516,1.7853060353707149,0.004651162790697674,0.13488372093023257,0.0,1.0,0,0.0,0,day10_nominal,B1_adaptive_assertive
B1,adaptive,assertive,46,8.75000013038516,1.4895721653635816,0.02403846153846154,0.10096153846153846,0.0,1.0,0,3.0,p3,day11_shifted,B1_adaptive_assertive_offset_p3
B1,adaptive,assertive,47,9.900000147521496,2.2630227490932766,0.012987012987012988,0.06926406926406926,0.0,1.0,0,3.0,p3,day11_shifted,B1_adaptive_assertive_offset_p3
B1,adaptive,assertive,48,8.350000124424696,1.342221461731122,0.03,0.135,0.0,1.0,0,3.0,p3,day11_shifted,B1_adaptive_assertive_offset_p3
B1,adaptive,assertive,49,7.750000115483999,1.7105531437299546,0.026595744680851064,0.11702127659574468,0.0,1.0,0,3.0,p3,day11_shifted,B1_adaptive_assertive_offset_p3
B1,adaptive,assertive,50,8.200000122189522,2.56089014075487,0.02040816326530612,0.11224489795918367,0.0,1.0,0,3.0,p3,day11_shifted,B1_adaptive_assertive_offset_p3
