inference_scope,contrast,metric,left_minus_right_mean,ci95_low,ci95_high,exact_init_cluster_sign_flip_p,condition_pairs,independent_init_groups,holm_adjusted_p_within_scope
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_0,solver_failure_fraction,-0.0008860648837269658,-0.0018854216415259445,3.9849138854807736e-05,0.375,10,5,1.0
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_0,supervisor_active_fraction,0.002565615007884771,0.00037782304306129553,0.0052941652415079725,0.125,10,5,1.0
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_p3,target_clearance_adjusted_completion_delay_s,-0.07500000111758709,-1.6900000251829623,1.0650000158697366,1.0,10,5,1.0
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_p3,min_footprint_separation_m,0.18633485093443014,0.06208928684236568,0.31058041502649464,0.125,10,5,1.0
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_p3,solver_failure_fraction,0.0017424093182382273,-0.002204087751327224,0.005688906387803679,0.625,10,5,1.0
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_p3,supervisor_active_fraction,0.0006228359635453914,-0.00875635502914932,0.014617469074862988,1.0,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B1__fixed_medium,target_clearance_adjusted_completion_delay_s,0.29500000439584256,-0.360000005364418,0.9700000144541263,0.5,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B1__fixed_medium,min_footprint_separation_m,0.09478339207289839,0.04052767444067146,0.15031388273423169,0.0625,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B1__fixed_medium,solver_failure_fraction,0.003903270361836287,0.0018007981534407334,0.005551097837508988,0.125,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B1__fixed_medium,supervisor_active_fraction,-0.036797602248871554,-0.05358504753952041,-0.017974027735506555,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B1__fixed_medium,target_clearance_adjusted_completion_delay_s,-0.515000007674098,-0.9050000134855509,0.06500000096857547,0.1875,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B1__fixed_medium,min_footprint_separation_m,0.42451007051746403,0.2842845034120204,0.5935910344644354,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B1__fixed_medium,solver_failure_fraction,0.016638033740258844,0.011983370595700229,0.021919457674418462,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B1__fixed_medium,supervisor_active_fraction,-0.03390281931863802,-0.04213387659253699,-0.025671762044739043,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B1__fixed_medium,target_clearance_adjusted_completion_delay_s,-0.22000000327825547,-0.9900000147521496,0.5500000081956387,0.6875,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B1__fixed_medium,min_footprint_separation_m,0.5192934625903625,0.34150810901676837,0.7018565354429658,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B1__fixed_medium,solver_failure_fraction,0.02054130410209513,0.015350491849656145,0.02686503218736721,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B1__fixed_medium,supervisor_active_fraction,-0.07070042156750958,-0.08596033337271772,-0.05420578618711371,0.0625,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B1__adaptive,target_clearance_adjusted_completion_delay_s,-0.06500000096857547,-0.2550000037997961,0.180000002682209,0.6875,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B1__adaptive,min_footprint_separation_m,0.16756028126339723,0.013794267093917378,0.350304552867418,0.1875,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B1__adaptive,solver_failure_fraction,0.0040660189399922345,0.0018932379384878288,0.005592513627931447,0.125,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B1__adaptive,supervisor_active_fraction,-0.03219413022812606,-0.04311828688690319,-0.023717529055709195,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B1__adaptive,target_clearance_adjusted_completion_delay_s,0.07500000111758709,-1.1550000172108412,1.5550000231713057,0.8125,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B1__adaptive,min_footprint_separation_m,0.7286549218992707,0.41154134988398344,1.0571750029869507,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B1__adaptive,solver_failure_fraction,0.019706111068224168,0.015523763150178277,0.023611142174395368,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B1__adaptive,supervisor_active_fraction,-0.03719670131223822,-0.05244821925581654,-0.021945183368659905,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B1__adaptive,target_clearance_adjusted_completion_delay_s,0.010000000149011612,-1.055000015720725,1.4800000220537186,0.9375,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B1__adaptive,min_footprint_separation_m,0.896215203162668,0.45445175079208566,1.3379786555332505,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B1__adaptive,solver_failure_fraction,0.023772130008216406,0.01806263116116785,0.02898625294895752,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B1__adaptive,supervisor_active_fraction,-0.06939083154036428,-0.09359733136829959,-0.04654404547348534,0.0625,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B0__fixed_medium,target_clearance_adjusted_completion_delay_s,-0.7550000112503767,-1.5800000235438347,0.005000000074505806,0.1875,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B0__fixed_medium,min_footprint_separation_m,0.014694922790138265,-0.13516292196060745,0.11329748229091316,0.9375,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B0__fixed_medium,solver_failure_fraction,0.004589244426923239,0.0022491218936322973,0.0064887913151199005,0.125,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B0__fixed_medium,supervisor_active_fraction,-0.023362949575538684,-0.03646165560244805,-0.009121311720175227,0.125,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B0__fixed_medium,target_clearance_adjusted_completion_delay_s,0.4300000064074993,-0.5750000085681677,1.440000021457672,0.5625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B0__fixed_medium,min_footprint_separation_m,0.42900779864712285,0.2715912109650964,0.595861024612798,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B0__fixed_medium,solver_failure_fraction,0.015065070862803485,0.009849851855273106,0.021236324334319583,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B0__fixed_medium,supervisor_active_fraction,-0.04147337664472169,-0.04563172980285209,-0.035404322691772606,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B0__fixed_medium,target_clearance_adjusted_completion_delay_s,-0.3250000048428774,-1.805000026896596,1.2100000180304051,0.75,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B0__fixed_medium,min_footprint_separation_m,0.4437027214372612,0.32436854079801536,0.549660335556685,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B0__fixed_medium,solver_failure_fraction,0.019654315289726724,0.013997642897003542,0.02671005194891498,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B0__fixed_medium,supervisor_active_fraction,-0.06483632622026038,-0.08162165875383494,-0.04805099368668582,0.0625,10,5,1.0
