dataset,model_cell_id,seed,ego_init_id,rollout_id,rollout_macro_nll,top1_ADE,top1_FDE,full_horizon_samples,source_artifact
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,11,43,ego_init_43,-2.0084490487019044,0.21156311958017746,0.4131558713027453,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s11__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,11,44,ego_init_44,-1.5631231117494089,0.3480101572428956,0.6906364475017925,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s11__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,11,45,ego_init_45,-1.4573821089681995,0.14479772666828844,0.1751938431320056,62,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s11__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,23,41,ego_init_41,-1.7035115525555595,0.22686108050134582,0.4329131146125042,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s23__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,23,42,ego_init_42,-1.710286033814769,0.22772022230620512,0.4275215795533486,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s23__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,23,43,ego_init_43,-2.0170614755188208,0.20873789856431446,0.4139112015694738,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s23__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,23,44,ego_init_44,-1.596368997529151,0.4320251426034505,0.8688319815447691,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s23__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,23,45,ego_init_45,-1.3976259839241076,0.1461079209425665,0.17806700892773228,62,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s23__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,37,41,ego_init_41,-1.655612076317042,0.2307450549066863,0.43194353730121515,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s37__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,37,42,ego_init_42,-1.6015335311588637,0.2334693536332025,0.42760732173243016,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s37__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,37,43,ego_init_43,-1.8585015364523276,0.21510564578909286,0.41776793123489164,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s37__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,37,44,ego_init_44,-1.3583492509451593,0.3942413823989138,0.7810026638600057,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s37__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h0p4-large,37,45,ego_init_45,-1.4013307933039187,0.14681216055191665,0.17003607041610652,62,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h0p4-large__lr1e-4__s37__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h1p0-large,11,41,ego_init_41,-1.9921579162671075,0.21615945152319402,0.419179493796356,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h1p0-large__lr1e-4__s11__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h1p0-large,11,42,ego_init_42,-1.833250392746065,0.21940869227688634,0.4160467900486371,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h1p0-large__lr1e-4__s11__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h1p0-large,11,43,ego_init_43,-2.2469259698397326,0.14295696302688637,0.2772551166233462,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h1p0-large__lr1e-4__s11__data100/full_horizon_metrics.json
retrospective_heldout_full_horizon_recalibrated,mlp-h1p0-large,11,44,ego_init_44,-1.6161667572865837,0.4177213741606684,0.806033755616897,66,/root/autodl-tmp/results/capacity_history_future_mask_v4e_120/postprocess/full_horizon_sensitivity/v3__mlp-h1p0-large__lr1e-4__s11__data100/full_horizon_metrics.json
