ego_init_id,outcome,contrast,effect
107,actual_minus_nominal_accel_mean_mps2,authority_effect_fixed_medium,-0.5815033844739513
107,actual_minus_nominal_accel_abs_mean_mps2,risk_effect_authority_on,0.015987475116381766
107,actual_minus_nominal_accel_abs_mean_mps2,risk_effect_authority_off,0.0
107,actual_minus_nominal_accel_abs_mean_mps2,authority_effect_adaptive,0.6518331157838143
107,actual_minus_nominal_accel_abs_mean_mps2,authority_effect_fixed_medium,0.6358456406674325
107,cautious_approach_progress_m,risk_effect_authority_on,
107,cautious_approach_progress_m,risk_effect_authority_off,
107,cautious_approach_progress_m,authority_effect_adaptive,
107,cautious_approach_progress_m,authority_effect_fixed_medium,
107,first_stop_distance_to_conflict_m,risk_effect_authority_on,
107,first_stop_distance_to_conflict_m,risk_effect_authority_off,
107,first_stop_distance_to_conflict_m,authority_effect_adaptive,
107,first_stop_distance_to_conflict_m,authority_effect_fixed_medium,
107,first_stop_distance_to_designed_stop_m,risk_effect_authority_on,
107,first_stop_distance_to_designed_stop_m,risk_effect_authority_off,
107,first_stop_distance_to_designed_stop_m,authority_effect_adaptive,
107,first_stop_distance_to_designed_stop_m,authority_effect_fixed_medium,
107,stopped_duration_s,risk_effect_authority_on,
107,stopped_duration_s,risk_effect_authority_off,
107,stopped_duration_s,authority_effect_adaptive,
107,stopped_duration_s,authority_effect_fixed_medium,
107,nominal_conflict_clear_to_actual_path_release_s,risk_effect_authority_on,
107,nominal_conflict_clear_to_actual_path_release_s,risk_effect_authority_off,
107,nominal_conflict_clear_to_actual_path_release_s,authority_effect_adaptive,
107,nominal_conflict_clear_to_actual_path_release_s,authority_effect_fixed_medium,
107,actual_path_release_to_sustained_resume_s,risk_effect_authority_on,
107,actual_path_release_to_sustained_resume_s,risk_effect_authority_off,
107,actual_path_release_to_sustained_resume_s,authority_effect_adaptive,
107,actual_path_release_to_sustained_resume_s,authority_effect_fixed_medium,
107,buffered_conflict_clear_to_sustained_resume_s,risk_effect_authority_on,
107,buffered_conflict_clear_to_sustained_resume_s,risk_effect_authority_off,
107,buffered_conflict_clear_to_sustained_resume_s,authority_effect_adaptive,
107,buffered_conflict_clear_to_sustained_resume_s,authority_effect_fixed_medium,
108,failure_penalized_completion_time_s,risk_effect_authority_on,-0.5499999999999989
108,failure_penalized_completion_time_s,risk_effect_authority_off,0.0
108,failure_penalized_completion_time_s,authority_effect_adaptive,-19.775
108,failure_penalized_completion_time_s,authority_effect_fixed_medium,-19.225
108,completion_success,risk_effect_authority_on,0.0
108,completion_success,risk_effect_authority_off,0.0
108,completion_success,authority_effect_adaptive,1.0
108,completion_success,authority_effect_fixed_medium,1.0
108,yield_rule_failure,risk_effect_authority_on,0.0
108,yield_rule_failure,risk_effect_authority_off,0.0
108,yield_rule_failure,authority_effect_adaptive,-1.0
108,yield_rule_failure,authority_effect_fixed_medium,-1.0
108,trajectory_inferred_yield_rule_failure,risk_effect_authority_on,0.0
108,trajectory_inferred_yield_rule_failure,risk_effect_authority_off,0.0
108,trajectory_inferred_yield_rule_failure,authority_effect_adaptive,-0.5
108,trajectory_inferred_yield_rule_failure,authority_effect_fixed_medium,-0.5
108,minimum_margin_adjusted_bbox_separation_m,risk_effect_authority_on,0.003820101799084652
108,minimum_margin_adjusted_bbox_separation_m,risk_effect_authority_off,0.0
108,minimum_margin_adjusted_bbox_separation_m,authority_effect_adaptive,1.1083353032526198
108,minimum_margin_adjusted_bbox_separation_m,authority_effect_fixed_medium,1.104515201453535
108,native_collision_any,risk_effect_authority_on,0.0
108,native_collision_any,risk_effect_authority_off,0.0
108,native_collision_any,authority_effect_adaptive,-0.5
108,native_collision_any,authority_effect_fixed_medium,-0.5
108,physical_bbox_overlap_any,risk_effect_authority_on,0.0
108,physical_bbox_overlap_any,risk_effect_authority_off,0.0
108,physical_bbox_overlap_any,authority_effect_adaptive,-0.5
108,physical_bbox_overlap_any,authority_effect_fixed_medium,-0.5
108,margin_adjusted_bbox_violation_any,risk_effect_authority_on,0.0
108,margin_adjusted_bbox_violation_any,risk_effect_authority_off,0.0
108,margin_adjusted_bbox_violation_any,authority_effect_adaptive,-1.0
108,margin_adjusted_bbox_violation_any,authority_effect_fixed_medium,-1.0
108,adverse_collision_any,risk_effect_authority_on,0.0
108,adverse_collision_any,risk_effect_authority_off,0.0
108,adverse_collision_any,authority_effect_adaptive,-0.5
108,adverse_collision_any,authority_effect_fixed_medium,-0.5
108,attempted_fallback_or_nonaccepted_fraction,risk_effect_authority_on,0.0006313131313131493
108,attempted_fallback_or_nonaccepted_fraction,risk_effect_authority_off,0.0
108,attempted_fallback_or_nonaccepted_fraction,authority_effect_adaptive,-0.30570797413282963
108,attempted_fallback_or_nonaccepted_fraction,authority_effect_fixed_medium,-0.3063392872641428
108,ego_policy_wall_time_p50_ms,risk_effect_authority_on,-1.4043888077139854
108,ego_policy_wall_time_p50_ms,risk_effect_authority_off,24.849314242601395
108,ego_policy_wall_time_p50_ms,authority_effect_adaptive,6.457940675318241
108,ego_policy_wall_time_p50_ms,authority_effect_fixed_medium,32.71164372563362
108,ego_policy_wall_time_p95_ms,risk_effect_authority_on,11.81662455201149
108,ego_policy_wall_time_p95_ms,risk_effect_authority_off,75.93562789261341
108,ego_policy_wall_time_p95_ms,authority_effect_adaptive,-31.016029231250172
108,ego_policy_wall_time_p95_ms,authority_effect_fixed_medium,33.10297410935175
108,ego_policy_wall_time_p99_ms,risk_effect_authority_on,24.810684844851266
108,ego_policy_wall_time_p99_ms,risk_effect_authority_off,34.46649610996252
108,ego_policy_wall_time_p99_ms,authority_effect_adaptive,-35.80788210034399
108,ego_policy_wall_time_p99_ms,authority_effect_fixed_medium,-26.152070835232735
108,ego_policy_wall_time_over_50ms_fraction,risk_effect_authority_on,-0.008734049175225689
108,ego_policy_wall_time_over_50ms_fraction,risk_effect_authority_off,0.025074207155131978
108,ego_policy_wall_time_over_50ms_fraction,authority_effect_adaptive,-0.12327323092657483
108,ego_policy_wall_time_over_50ms_fraction,authority_effect_fixed_medium,-0.08946497459621716
108,ego_policy_wall_time_over_200ms_fraction,risk_effect_authority_on,0.04552697590262356
108,ego_policy_wall_time_over_200ms_fraction,risk_effect_authority_off,0.02218403374472737
108,ego_policy_wall_time_over_200ms_fraction,authority_effect_adaptive,0.1503750167400621
108,ego_policy_wall_time_over_200ms_fraction,authority_effect_fixed_medium,0.12703207458216592
108,ego_policy_wall_time_over_500ms_fraction,risk_effect_authority_on,0.0004898332389950801
108,ego_policy_wall_time_over_500ms_fraction,risk_effect_authority_off,0.016403686923918137
108,ego_policy_wall_time_over_500ms_fraction,authority_effect_adaptive,-0.013813013348788603
108,ego_policy_wall_time_over_500ms_fraction,authority_effect_fixed_medium,0.0021008403361344537
