cell_id,predictor,risk_policy,target_style,ego_init_id,footprint_margin_m_per_actor,primary_margin,ego_route_completion_duration_s,post_clearance_completion_lag_s,minimum_footprint_separation_m,footprint_collision,native_collision_any,fixed_geometry_yield_failure,completion_failure,continuous_outcome_missing_reasons,rollout_receipt_sha256,geometry_sources_json,dimensions_m_json,bbox_pose_offsets_rhs_json
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,101,0.35,0,11.4,8.799999961257072,0.8224232095700316,0,0,0,0,,f83b05a2a29bd6dd8b89d83dc97f3f31c755634592de219c90e74a61f4db46f5,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,101,0.5,0,11.4,8.799999961257072,0.46814235854496705,0,0,0,0,,f83b05a2a29bd6dd8b89d83dc97f3f31c755634592de219c90e74a61f4db46f5,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,102,0.0,0,11.45,8.849999961257026,1.975863961170575,0,0,0,0,,58f0f080a6cf573496d780464c364473ca016461cddf3f70a3d35bc099b49a6b,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,102,0.25,1,11.45,8.849999961257026,1.3887785086152737,0,0,0,0,,58f0f080a6cf573496d780464c364473ca016461cddf3f70a3d35bc099b49a6b,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,102,0.35,0,11.45,8.849999961257026,1.1539443275931531,0,0,0,0,,58f0f080a6cf573496d780464c364473ca016461cddf3f70a3d35bc099b49a6b,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,102,0.5,0,11.45,8.849999961257026,0.8016930560599725,0,0,0,0,,58f0f080a6cf573496d780464c364473ca016461cddf3f70a3d35bc099b49a6b,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,103,0.0,0,11.1,8.399999959766774,1.526732402176207,0,0,0,0,,71dd20aac900b2faef1dfa4efc3074cf696cb2e28168a806d736524f7113d637,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,103,0.25,1,11.1,8.399999959766774,0.935701787420272,0,0,0,0,,71dd20aac900b2faef1dfa4efc3074cf696cb2e28168a806d736524f7113d637,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,103,0.35,0,11.1,8.399999959766774,0.6992570709032774,0,0,0,0,,71dd20aac900b2faef1dfa4efc3074cf696cb2e28168a806d736524f7113d637,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,103,0.5,0,11.1,8.399999959766774,0.3446774962344107,0,0,0,0,,71dd20aac900b2faef1dfa4efc3074cf696cb2e28168a806d736524f7113d637,"[""scenario_result_carla_bounding_box"", ""scenario_result_carla_bounding_box""]","[4.673638820648193, 1.8118125200271606, 4.673638820648193, 1.8118125200271606]","[-0.002593994140625, -0.0, -0.0, -0.0025927722454071045, -9.272478895816505e-10, -0.0]"
