hypothesis,contrast_id,metric,target_style,treatment_predictor,control_predictor,treatment_policy,control_policy,ego_init_id,treatment_value,control_value,treatment_minus_control,pair_complete,missing_reason
H4,H4_B1_reactive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_medium,103,0.9353615953693959,0.9357392046620323,-0.00037760929263641607,1,
H4,H4_B1_reactive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_medium,104,0.9934583219388524,0.9938269991418124,-0.0003686772029599661,1,
H4,H4_B1_reactive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_medium,105,1.2848230738463107,1.283027606715174,0.0017954671311366521,1,
H4,H4_B1_reactive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_conservative,101,11.35,12.5,-1.1500000000000004,1,
H4,H4_B1_reactive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_conservative,102,11.65,11.25,0.40000000000000036,1,
H4,H4_B1_reactive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_conservative,103,10.3,11.05,-0.75,1,
H4,H4_B1_reactive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_conservative,104,10.0,10.1,-0.09999999999999964,1,
H4,H4_B1_reactive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_conservative,105,11.0,11.5,-0.5,1,
H4,H4_B1_reactive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_conservative,101,1.0583218569746329,1.0591596726315995,-0.0008378156569666118,1,
H4,H4_B1_reactive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_conservative,102,1.390668590201789,1.3703676280711703,0.020300962130618716,1,
H4,H4_B1_reactive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_conservative,103,0.9353615953693959,0.9493650294162448,-0.014003434046848895,1,
H4,H4_B1_reactive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_conservative,104,0.9934583219388524,1.012346382513035,-0.018888060574182575,1,
H4,H4_B1_reactive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_conservative,105,1.2848230738463107,1.2806742692279822,0.00414880461832845,1,
H4,H4_B0_assertive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_aggressive,101,10.85,11.45,-0.5999999999999996,1,
H4,H4_B0_assertive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_aggressive,102,10.6,10.75,-0.15000000000000036,1,
H4,H4_B0_assertive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_aggressive,103,9.95,11.85,-1.9000000000000004,1,
H4,H4_B0_assertive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_aggressive,104,9.5,9.55,-0.05000000000000071,1,
H4,H4_B0_assertive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_aggressive,105,10.6,10.4,0.1999999999999993,1,
H4,H4_B0_assertive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_aggressive,101,1.0895944700371958,1.0589098393836616,0.030684630653534217,1,
