contrast,predictor,target_style,ego_init_id,adaptive_solver_failure_fraction,control_solver_failure_fraction,adaptive_minus_control_solver_failure_fraction,adaptive_over_control_ratio
adaptive_minus_fixed_aggressive,B1,reactive,105,0.0090909090909090905,0.0091324200913242004,-4.1511000415109939e-05,0.99545454545454548
adaptive_minus_fixed_medium,B0,assertive,101,0.018433179723502304,0.017021276595744681,0.001411903127757623,1.0829493087557605
adaptive_minus_fixed_medium,B0,assertive,102,0.014150943396226415,0.012244897959183673,0.0019060454370427426,1.1556603773584906
adaptive_minus_fixed_medium,B0,assertive,103,0.025125628140703519,0.025125628140703519,0,1
adaptive_minus_fixed_medium,B0,assertive,104,0.010526315789473684,0.010526315789473684,0,1
adaptive_minus_fixed_medium,B0,assertive,105,0.009433962264150943,0.0097087378640776691,-0.00027477559992672602,0.97169811320754718
adaptive_minus_fixed_medium,B0,reactive,101,0.017621145374449341,0.016736401673640166,0.00088474370080917492,1.0528634361233482
adaptive_minus_fixed_medium,B0,reactive,102,0.013888888888888888,0.013043478260869565,0.00084541062801932361,1.0648148148148149
adaptive_minus_fixed_medium,B0,reactive,103,0.022522522522522521,0.022522522522522521,0,1
adaptive_minus_fixed_medium,B0,reactive,104,0.0098039215686274508,0.0099009900990099011,-9.7068530382450266e-05,0.99019607843137247
adaptive_minus_fixed_medium,B0,reactive,105,0.0085106382978723406,0.0087336244541484712,-0.0002229861562761306,0.97446808510638305
adaptive_minus_fixed_medium,B1,assertive,101,0.017167381974248927,0.016597510373443983,0.00056987160080494356,1.0343347639484979
adaptive_minus_fixed_medium,B1,assertive,102,0.013392857142857142,0.013513513513513514,-0.00012065637065637215,0.99107142857142849
adaptive_minus_fixed_medium,B1,assertive,103,0.025125628140703519,0.021186440677966101,0.0039391874627374181,1.1859296482412061
adaptive_minus_fixed_medium,B1,assertive,104,0.010471204188481676,0.010526315789473684,-5.5111600992007945e-05,0.99476439790575921
adaptive_minus_fixed_medium,B1,assertive,105,0.0096618357487922701,0.0095693779904306216,9.2457758361648434e-05,1.0096618357487923
adaptive_minus_fixed_medium,B1,reactive,101,0.017621145374449341,0.017543859649122806,7.7285725326534799e-05,1.0044052863436126
adaptive_minus_fixed_medium,B1,reactive,102,0.012875536480686695,0.013157894736842105,-0.0002823582561554093,0.97854077253218885
adaptive_minus_fixed_medium,B1,reactive,103,0.024271844660194174,0.022421524663677129,0.0018503199965170455,1.0825242718446602
adaptive_minus_fixed_medium,B1,reactive,104,0.01,0.0099502487562189053,4.9751243781094925e-05,1.0050000000000001
adaptive_minus_fixed_medium,B1,reactive,105,0.0090909090909090905,0.0090909090909090905,0,1
adaptive_minus_fixed_conservative,B0,assertive,101,0.018433179723502304,0.022421524663677129,-0.0039883449401748247,0.8221198156682028
adaptive_minus_fixed_conservative,B0,assertive,102,0.014150943396226415,0.016393442622950821,-0.0022424992267244051,0.8632075471698113
adaptive_minus_fixed_conservative,B0,assertive,103,0.025125628140703519,0.025000000000000001,0.00012562814070351744,1.0050251256281406
adaptive_minus_fixed_conservative,B0,assertive,104,0.010526315789473684,0.010471204188481676,5.5111600992007945e-05,1.0052631578947369
adaptive_minus_fixed_conservative,B0,assertive,105,0.009433962264150943,0.0098039215686274508,-0.00036995930447650781,0.96226415094339623
adaptive_minus_fixed_conservative,B0,reactive,101,0.017621145374449341,0.022321428571428572,-0.0047002831969792311,0.7894273127753304
adaptive_minus_fixed_conservative,B0,reactive,102,0.013888888888888888,0.017543859649122806,-0.0036549707602339179,0.79166666666666663
adaptive_minus_fixed_conservative,B0,reactive,103,0.022522522522522521,0.024390243902439025,-0.0018677213799165038,0.92342342342342332
adaptive_minus_fixed_conservative,B0,reactive,104,0.0098039215686274508,0.0098039215686274508,0,1
adaptive_minus_fixed_conservative,B0,reactive,105,0.0085106382978723406,0.0091743119266055051,-0.00066367362873316453,0.92765957446808511
adaptive_minus_fixed_conservative,B1,assertive,101,0.017167381974248927,0.024154589371980676,-0.0069872073977317491,0.71072961373390564
adaptive_minus_fixed_conservative,B1,assertive,102,0.013392857142857142,0.019607843137254902,-0.0062149859943977596,0.6830357142857143
adaptive_minus_fixed_conservative,B1,assertive,103,0.025125628140703519,0.024875621890547265,0.00025000625015625388,1.0100502512562815
adaptive_minus_fixed_conservative,B1,assertive,104,0.010471204188481676,0.010526315789473684,-5.5111600992007945e-05,0.99476439790575921
adaptive_minus_fixed_conservative,B1,assertive,105,0.0096618357487922701,0.0096153846153846159,4.6451133407654152e-05,1.0048309178743959
adaptive_minus_fixed_conservative,B1,reactive,101,0.017621145374449341,0.02,-0.0023788546255506596,0.88105726872246704
adaptive_minus_fixed_conservative,B1,reactive,102,0.012875536480686695,0.017777777777777778,-0.0049022412970910825,0.72424892703862664
adaptive_minus_fixed_conservative,B1,reactive,103,0.024271844660194174,0.022624434389140271,0.0016474102710539035,1.0728155339805825
adaptive_minus_fixed_conservative,B1,reactive,104,0.01,0.0099009900990099011,9.9009900990099098e-05,1.01
adaptive_minus_fixed_conservative,B1,reactive,105,0.0090909090909090905,0.0086956521739130436,0.00039525691699604688,1.0454545454545454
