predictor,risk,target,ego_init_id,relative_path,steps,valid_tightening_steps,valid_command_steps,mean_tightening,mean_nominal_accel_mps2,mean_actual_accel_mps2,mean_abs_supervisor_accel_delta_mps2,supervisor_request_fraction,post_action_applied_fraction,controller_accepted_fraction
P_star,adaptive,defensive_reactive,83,P_star__adaptive__defensive_reactive/scenario_uk_give_way_ego_init_83_smpc_var_risk/smpc_debug_steps.jsonl,232,232,232,1.3906142736217648,-0.36391356316292567,-1.5397009463939098,1.2117801792256353,0.6163793103448276,0.27155172413793105,0.9870689655172413
P_star,adaptive,defensive_reactive,84,P_star__adaptive__defensive_reactive/scenario_uk_give_way_ego_init_84_smpc_var_risk/smpc_debug_steps.jsonl,243,243,243,1.384592271285736,-0.42334078235027367,-1.025192883899613,0.6827694430702095,0.5843621399176955,0.23868312757201646,0.9876543209876543
P_star,adaptive,defensive_reactive,85,P_star__adaptive__defensive_reactive/scenario_uk_give_way_ego_init_85_smpc_var_risk/smpc_debug_steps.jsonl,261,261,261,1.3758560303440153,-0.32870025514096973,-1.3770066538799293,1.1530631356611611,0.5402298850574713,0.29118773946360155,0.9808429118773946
P_star,adaptive,defensive_reactive,86,P_star__adaptive__defensive_reactive/scenario_uk_give_way_ego_init_86_smpc_var_risk/smpc_debug_steps.jsonl,222,222,222,1.393953839642011,-0.31662807852847374,-1.5268118212983408,1.2470244190000677,0.6396396396396397,0.2747747747747748,0.9819819819819819
P_star,adaptive,defensive_reactive,87,P_star__adaptive__defensive_reactive/scenario_uk_give_way_ego_init_87_smpc_var_risk/smpc_debug_steps.jsonl,195,195,195,1.4070366941076475,-0.21857128679497664,-0.8199820196910449,0.6581379592006275,0.7230769230769231,0.2717948717948718,0.9897435897435898
P_star,adaptive,defensive_reactive,88,P_star__adaptive__defensive_reactive/scenario_uk_give_way_ego_init_88_smpc_var_risk/smpc_debug_steps.jsonl,278,278,278,1.3700952542796716,-0.3856905814168007,-1.362042008646083,1.1320804385278913,0.5071942446043165,0.28776978417266186,0.9856115107913669
P_star,adaptive,defensive_reactive,89,P_star__adaptive__defensive_reactive/scenario_uk_give_way_ego_init_89_smpc_var_risk/smpc_debug_steps.jsonl,272,272,272,1.3745307365540056,-0.41470136934791885,-1.4154781871525046,1.0317161124152803,0.5257352941176471,0.23529411764705882,0.9889705882352942
P_star,adaptive,defensive_reactive,90,P_star__adaptive__defensive_reactive/scenario_uk_give_way_ego_init_90_smpc_var_risk/smpc_debug_steps.jsonl,244,244,244,1.3851280042205218,-0.3669732416938716,-0.9036896870350101,0.6250202291606334,0.5778688524590164,0.22950819672131148,0.9877049180327869
P_star,fixed_medium,assertive_constant_speed,81,P_star__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_81_smpc_fixed_risk/smpc_debug_steps.jsonl,223,223,223,1.64,-0.37957313996964,-1.3365356553685386,0.9943050997794783,0.5919282511210763,0.2556053811659193,0.9775784753363229
P_star,fixed_medium,assertive_constant_speed,82,P_star__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_82_smpc_fixed_risk/smpc_debug_steps.jsonl,193,193,193,1.64,-0.23572120453233703,-0.7841301691381461,0.6280317392018321,0.6632124352331606,0.18652849740932642,0.9948186528497409
