t,step,ey,epsi_deg,speed,vehicle_accel,cmd_accel,cmd_yaw_or_steer,final_accel_delta,solve_time_ms,risk_tightening,target_prob,ego_distance_to_conflict,supervisor_active,target_cleared,top_mode_probability
2.95,59,-0.2575921347,1.860662295,7.057571985e-07,2.493352324e-06,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.4760313928
3,60,-0.2575921347,1.860662295,5.126072203e-07,4.804221447e-06,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.5760367513
3.05,61,-0.2575921347,1.860662295,3.901106265e-07,1.692823174e-06,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.5128139257
3.1,62,-0.2575921347,1.860662295,3.549437151e-07,5.083447903e-07,1.8,0.1762095043,-3.6,0,1.281551566,0.9,9.496227967,0,1,0.7141768932
3.15,63,-0.2575921347,1.860662295,2.451491317e-07,2.241627954e-06,1.8,0.4460915968,-1.795650764,189.678919,1.281551566,0.9,9.496227967,0,1,0.715929687
3.2,64,-0.2559772736,1.902958704,0.4225264163,8.40414327,1.8,0.4999719804,-1.801089459,143.92261,1.281551566,0.9,9.496227967,0,1,0.6640602946
3.25,65,-0.2508047839,2.068911387,0.818501028,7.862510622,1.8,0.4996922113,-1.799978653,108.556696,1.281551566,0.9,9.496227967,0,1,0.6627856493
3.3,66,-0.2423272239,2.364505602,0.9895448045,3.30597619,1.8,0.3718135729,-1.800415228,157.54461,1.281551566,0.9,9.496227967,0,1,0.735147059
3.35,67,-0.2308889336,2.79547484,1.180837844,3.739152382,1.727664862,0.3757703921,-1.801640491,96.192861,1.281551566,0.9,9.496227967,0,1,0.6943976879
3.4,68,-0.2174076765,3.261810137,1.319038097,2.705809634,1.799794993,0.183009362,-1.8,108.193503,1.281551566,0.9,9.496227967,0,1,0.6706328392
3.45,69,-0.2040066793,3.659883333,1.401405591,1.717966137,1.75236542,0.1854721782,-1.8,121.792338,1.281551566,0.9,9.496227967,0,1,0.6159076095
3.5,70,-0.1894811537,4.069486452,1.577158334,3.480932439,1.8,0.05394149633,-1.799871583,148.622697,1.281551566,0.9,9.496227967,0,1,0.6245982051
3.55,71,-0.1758418717,4.379573656,1.672796063,2.008086718,1.74389665,0.05755014658,-1.8,113.042402,1.281551566,0.9,9.496227967,0,1,0.631780386
3.6,72,-0.1622119599,4.657005144,1.836011945,3.262013001,1.8,-0.03540011242,-1.799955772,90.666906,1.281551566,0.9,9.496227967,0,1,0.5930092931
3.65,73,-0.1501976417,4.806936098,1.927764156,1.897238785,1.740407335,-0.03137590129,-1.8,160.95938,1.281551566,0.9,9.496227967,0,1,0.5511257648
3.7,74,-0.1398245714,4.859121157,2.077229221,3.005611521,1.8,-0.06969832846,-1.799879296,141.073149,1.281551566,0.9,9.496227967,0,1,0.50103122
3.75,75,-0.1306570463,4.825921847,2.181594068,2.091974833,1.8,-0.0698498274,-1.79999056,78.347234,1.281551566,0.9,9.496227967,0,1,0.4692356586
3.8,76,-0.1309501449,0.1968166519,2.34881066,3.341135944,1.8,-0.06732603731,-1.799348721,146.587285,1.281551566,0.9,9.496227967,0,1,0.5179560184
3.85,77,-0.1323476039,0.08936425935,2.480083896,2.623383931,1.720292789,-0.06200360045,-1.8,138.146257,1.281551566,0.9,9.496227967,0,1,0.6371922493
3.9,78,-0.1348160085,-0.04356840362,2.663466004,3.660582688,1.8,0.2655023287,-1.798514797,124.303104,1.281551566,0.9,8.390807299,0,1,0.6072366834
3.95,79,-0.1340513497,-0.009697706597,2.818509031,3.104754589,1.710129027,0.2714975622,-1.8,179.772397,1.281551566,0.9,8.390807299,0,1,0.5789844394
4,80,-0.127631601,0.2951404739,3.011994761,3.811539785,1.8,0.2344398704,-1.799976781,143.081227,1.281551566,0.9,8.390807299,0,1,0.5781050324
4.05,81,-0.1162465546,0.7792732407,3.196127058,3.604879959,1.697218403,0.2388501873,-1.8,153.110778,1.281551566,0.9,8.390807299,0,1,0.6104847193
4.1,82,-0.1007314331,1.383544176,3.410603277,4.203805812,1.797612551,0.1612510617,-1.8,165.674212,1.281551566,0.9,8.390807299,0,1,0.6144607663
4.15,83,-0.09211640439,-2.544062733,3.628203529,4.311571044,1.681151476,0.1654465128,-1.8,154.914489,1.281551566,0.9,8.390807299,0,1,0.6171329021
4.2,84,-0.08641320385,-1.916110157,3.851503286,4.425003746,1.702719183,0.08305198026,-1.702756302,132.463924,1.281551566,0.9,8.390807299,0,1,0.6071588993
4.25,85,-0.07854157802,-1.264868855,4.066965248,4.258753283,1.791477994,0.2782085698,-1.8,178.565029,1.281551566,0.9,7.324325578,0,1,0.6806976795
4.3,86,-0.06724336895,-0.5448676339,4.272147275,4.024244357,1.794742943,0.2376803142,-1.8,147.786044,1.281551566,0.9,7.324325578,0,1,0.6754903793
4.35,87,-0.05156196966,0.2651890525,4.47126489,3.883248043,1.671733506,0.2415906281,-1.8,131.149688,1.281551566,0.9,7.324325578,0,1,0.6853857636
4.4,88,-0.04154689622,-3.388611564,4.668018334,3.824850298,0.57004408,0.1375556039,-0.4047585832,137.798921,1.281551566,0.9,7.324325578,0,1,0.5394791961
