t,step,ey,epsi_deg,speed,vehicle_accel,cmd_accel,cmd_yaw_or_steer,final_accel_delta,solve_time_ms,risk_tightening,target_prob,ego_distance_to_conflict,supervisor_active,target_cleared,top_mode_probability
2.2,44,-0.2263631594,1.850835634,4.775223969e-05,0.0003270547436,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.7857794762
2.25,45,-0.2263642964,1.850835634,3.535853198e-05,0.0002477602219,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.7845609188
2.3,46,-0.2263647492,1.850835634,1.32527275e-05,0.0004424861194,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.802403152
2.35,47,-0.2263649705,1.850835634,1.839406311e-05,-0.000103262532,1.8,0.1762095328,-1.8,0,1.64,0.9494974165,9.496227878,0,1,0.7691276073
2.4,48,-0.2263649654,1.850835634,1.69187662e-05,2.947367638e-05,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.897803843
2.45,49,-0.2263651867,1.850835634,1.367226979e-05,6.487036863e-05,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.8050586581
2.5,50,-0.2263651867,1.850835634,1.05739444e-05,6.199740254e-05,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.9124453068
2.55,51,-0.2263654081,1.850835634,7.945497178e-06,5.255310196e-05,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.9079991579
2.6,52,-0.2263656344,1.850835634,5.949856021e-06,3.988584299e-05,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.8361250758
2.65,53,-0.2263656344,1.850835634,4.374435788e-06,3.144969572e-05,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.8687115908
2.7,54,-0.2263656344,1.850835634,0,8.747656469e-05,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.8246208429
2.75,55,-0.2263656344,1.850835634,1.942925258e-06,-3.879267617e-05,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.7658435106
2.8,56,-0.2263656294,1.850835634,1.989017662e-06,-9.846289335e-07,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.5848482847
2.85,57,-0.2263656294,1.850835634,1.644662472e-06,6.893092377e-06,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.7578607798
