cell,ego_init_id,split,scenario_dir,collision_callbacks,unique_collision_frames,contact_episodes,monitored_roles,other_actor_types,labeled_samples,usable_windows,full_horizon_windows,history_overlap_windows,future_overlap_windows,post_collision_windows,affected_usable_windows,affected_window_semantics
S1_FIXED,42,val,scenario_uk_give_way_ego_init_42_smpc_fixed_risk,0,0,0,,,55,27,18,0,0,0,0,exact_zero
S1_FIXED,43,val,scenario_uk_give_way_ego_init_43_smpc_fixed_risk,0,0,0,,,52,27,18,0,0,0,0,exact_zero
S1_FIXED,44,val,scenario_uk_give_way_ego_init_44_smpc_fixed_risk,0,0,0,,,51,27,18,0,0,0,0,exact_zero
S1_FIXED,45,val,scenario_uk_give_way_ego_init_45_smpc_fixed_risk,0,0,0,,,49,25,16,0,0,0,0,exact_zero
S1_FIXED,46,test,scenario_uk_give_way_ego_init_46_smpc_fixed_risk,0,0,0,,,67,27,18,0,0,0,0,exact_zero
S1_FIXED,47,test,scenario_uk_give_way_ego_init_47_smpc_fixed_risk,0,0,0,,,47,24,15,0,0,0,0,exact_zero
S1_FIXED,48,test,scenario_uk_give_way_ego_init_48_smpc_fixed_risk,0,0,0,,,61,27,18,0,0,0,0,exact_zero
S1_FIXED,49,test,scenario_uk_give_way_ego_init_49_smpc_fixed_risk,0,0,0,,,63,26,17,0,0,0,0,exact_zero
S1_FIXED,50,test,scenario_uk_give_way_ego_init_50_smpc_fixed_risk,0,0,0,,,55,24,15,0,0,0,0,exact_zero
S1_ADAPTIVE,1,train,scenario_uk_give_way_ego_init_01_smpc_var_risk,0,0,0,,,59,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,2,train,scenario_uk_give_way_ego_init_02_smpc_var_risk,0,0,0,,,52,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,3,train,scenario_uk_give_way_ego_init_03_smpc_var_risk,0,0,0,,,55,24,15,0,0,0,0,exact_zero
S1_ADAPTIVE,4,train,scenario_uk_give_way_ego_init_04_smpc_var_risk,0,0,0,,,54,25,16,0,0,0,0,exact_zero
S1_ADAPTIVE,5,train,scenario_uk_give_way_ego_init_05_smpc_var_risk,0,0,0,,,57,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,6,train,scenario_uk_give_way_ego_init_06_smpc_var_risk,0,0,0,,,75,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,7,train,scenario_uk_give_way_ego_init_07_smpc_var_risk,1,1,1,target_2,traffic.traffic_light,72,27,18,,,,27,conservative_upper_bound
S1_ADAPTIVE,8,train,scenario_uk_give_way_ego_init_08_smpc_var_risk,0,0,0,,,66,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,9,train,scenario_uk_give_way_ego_init_09_smpc_var_risk,0,0,0,,,63,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,10,train,scenario_uk_give_way_ego_init_10_smpc_var_risk,7,4,3,target_2,traffic.traffic_light,70,27,18,,,,27,conservative_upper_bound
S1_ADAPTIVE,11,train,scenario_uk_give_way_ego_init_11_smpc_var_risk,0,0,0,,,51,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,12,train,scenario_uk_give_way_ego_init_12_smpc_var_risk,0,0,0,,,50,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,13,train,scenario_uk_give_way_ego_init_13_smpc_var_risk,0,0,0,,,62,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,14,train,scenario_uk_give_way_ego_init_14_smpc_var_risk,0,0,0,,,57,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,15,train,scenario_uk_give_way_ego_init_15_smpc_var_risk,0,0,0,,,54,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,16,train,scenario_uk_give_way_ego_init_16_smpc_var_risk,0,0,0,,,49,24,15,0,0,0,0,exact_zero
S1_ADAPTIVE,17,train,scenario_uk_give_way_ego_init_17_smpc_var_risk,0,0,0,,,56,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,18,train,scenario_uk_give_way_ego_init_18_smpc_var_risk,0,0,0,,,68,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,19,train,scenario_uk_give_way_ego_init_19_smpc_var_risk,10,5,3,target_2,traffic.traffic_light,60,27,18,,,,27,conservative_upper_bound
S1_ADAPTIVE,20,train,scenario_uk_give_way_ego_init_20_smpc_var_risk,0,0,0,,,60,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,21,train,scenario_uk_give_way_ego_init_21_smpc_var_risk,0,0,0,,,53,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,22,train,scenario_uk_give_way_ego_init_22_smpc_var_risk,0,0,0,,,58,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,23,train,scenario_uk_give_way_ego_init_23_smpc_var_risk,0,0,0,,,56,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,24,train,scenario_uk_give_way_ego_init_24_smpc_var_risk,0,0,0,,,63,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,25,train,scenario_uk_give_way_ego_init_25_smpc_var_risk,0,0,0,,,50,24,15,0,0,0,0,exact_zero
S1_ADAPTIVE,26,train,scenario_uk_give_way_ego_init_26_smpc_var_risk,0,0,0,,,55,27,18,0,0,0,0,exact_zero
