contrast_family,inference_scope,contrast,metric,a_label,b_label,n_pairs,mean_delta_a_minus_b,median_delta_a_minus_b,sd_delta,bootstrap_95ci_low,bootstrap_95ci_high,exact_sign_flip_p_two_sided,positive_pairs,negative_pairs,zero_pairs,holm_adjusted_p_within_scope
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B1__pooled,min_footprint_separation_m,adaptive,fixed_aggressive,10,0.007690718675246133,0.0035111279603591283,0.02144833363817059,-0.0047756184299795335,0.020500512246667685,0.296875,7,3,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B1__pooled,solver_failure_fraction,adaptive,fixed_aggressive,10,0.00031915346414586765,0.0,0.0012024819358575094,-0.00020114188211089608,0.0011212250878228284,0.59375,4,3,3,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B1__pooled,supervisor_active_fraction,adaptive,fixed_aggressive,10,-0.0042161143130280635,-0.00034873583260680574,0.012700281456292989,-0.012457978163440474,0.0025267591578780895,0.3984375,3,5,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__assertive,completion_time_s,adaptive,fixed_aggressive,5,0.3200000047683716,0.0,1.0359778144271927,-0.24000000357627868,1.2600000187754632,1.0,1,2,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__assertive,min_footprint_separation_m,adaptive,fixed_aggressive,5,0.0008028972426637138,0.003243702139862803,0.01784249599979527,-0.014314448600519092,0.01196291313613087,0.875,4,1,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__assertive,solver_failure_fraction,adaptive,fixed_aggressive,5,-0.00011773586880765765,0.0,0.00040454901758195003,-0.0004834745901585613,0.00011197154662225834,1.0,2,1,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__assertive,supervisor_active_fraction,adaptive,fixed_aggressive,5,-0.004094150629418097,0.0,0.013190257471757295,-0.01603004214762812,0.0029033267285431376,1.0,2,1,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__reactive,completion_time_s,adaptive,fixed_aggressive,5,0.2500000037252903,0.10000000149011612,0.7952986978802172,-0.34000000506639483,0.9400000140070915,0.5625,4,1,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__reactive,min_footprint_separation_m,adaptive,fixed_aggressive,5,0.014578540107828553,0.0037785537808554537,0.024456285734991843,-0.003576028524549679,0.03498383933324654,0.4375,3,2,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__reactive,solver_failure_fraction,adaptive,fixed_aggressive,5,0.000756042797099393,0.0,0.0016163463994129446,-6.451596738874417e-05,0.0022160814051736554,0.5,2,2,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__reactive,supervisor_active_fraction,adaptive,fixed_aggressive,5,-0.004338077996638029,-0.00136554621848739,0.013744035265664725,-0.016479028070772377,0.005615307490583565,0.5625,1,4,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_medium__B1__pooled,completion_time_s,adaptive,fixed_medium,10,-0.37500000558793545,-0.02500000037252903,1.0567902293449514,-1.010000015050173,0.2301250034291188,0.3359375,3,5,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_medium__B1__pooled,min_footprint_separation_m,adaptive,fixed_medium,10,0.0031947101601471294,0.001714538462328219,0.02181462788111713,-0.007958651665610572,0.017416970588175415,0.765625,5,5,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_medium__B1__pooled,solver_failure_fraction,adaptive,fixed_medium,10,0.000162748578155948,7.002801120448154e-05,0.0018340409965863643,-0.001008915056456531,0.001200666589987888,0.59375,5,3,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_medium__B1__pooled,supervisor_active_fraction,adaptive,fixed_medium,10,0.0036616760365316887,0.00034500603760564963,0.014958018284783839,-0.005243440246705713,0.01254916444100367,0.4296875,5,3,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B1__assertive,completion_time_s,adaptive,fixed_medium,5,-0.3500000052154064,0.0,0.657647331698004,-0.9500000141561031,0.020000000298023225,0.5,1,2,2,1.0
