cell_id,predictor,risk_policy,target_style,ego_init_id,completion_time_s,target_clearance_adjusted_completion_delay_s,rollout_start_time_s,ego_completion_time_s,target_clearance_time_s,completion_clock_residual_s,completion_valid,min_footprint_separation_m,min_center_distance_m,footprint_collision,yield_order_valid,clearance_s,feasibility_fraction,solver_failure_fraction,average_solve_time_s,max_lateral_acceleration_mps2,avg_longitudinal_jerk_mps3,avg_lateral_jerk_mps3,supervisor_active_fraction,hard_stop_override_fraction,risk_tightening_mean,adaptive_risk_solver_fraction,reactive_active_samples,invalid_probabilities,invalid_covariances
B1_fixed_medium_reactive,B1,fixed_medium,reactive,50,12.250000182539225,10.30000015348196,91.1198740825057,103.36987426504493,93.06987411156297,0.0,1.0,1.7972202793308303,5.126656674568154,0.0,1.0,1.3500000201165676,0.9959349593495935,0.0040650406504065045,0.07710324248163264,5.384622772951206,4.553284125526384,3.933738363166095,0.11788617886178862,0.11788617886178862,1.6399999999999935,0.0,0,0,0
B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,46,9.850000146776438,7.900000117719173,125.90221251174808,135.7522126585245,127.85221254080534,0.0,1.0,0.985224224512261,4.506650681885662,0.0,1.0,1.1500000171363354,0.9949494949494949,0.005050505050505051,0.07215835408629441,4.356328881395514,4.965707646961803,3.8185688502748896,0.1414141414141414,0.1414141414141414,2.0537489106318216,0.0,0,0,0
B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,47,9.300000138580799,7.300000108778477,146.89489124715328,156.19489138573408,148.8948912769556,0.0,1.0,1.0485621569234012,4.497629540428082,0.0,1.0,1.1000000163912773,1.0,0.0,0.07089812302673797,4.858460617704424,5.43074249903981,6.337290360750743,0.12834224598930483,0.12834224598930483,2.053748910631821,0.0,0,0,0
B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,48,10.200000151991844,8.25000012293458,169.95613005012274,180.15613020211458,171.90613007918,0.0,1.0,1.17199954595732,4.650389036056041,0.0,1.0,1.5000000223517418,0.9902439024390244,0.00975609756097561,0.06863991378325124,5.232274065136309,6.685569603286099,3.1374809829964496,0.16097560975609757,0.16097560975609757,2.0537489106318225,0.0,0,0,0
B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,49,10.150000151246786,8.200000122189522,193.94760733097792,204.0976074822247,195.89760736003518,0.0,1.0,1.3286414899674714,4.790037474298601,0.0,1.0,1.3000000193715096,0.9950980392156863,0.004901960784313725,0.07263055954679802,6.052911199855391,5.633036103862756,3.811290774641695,0.13725490196078433,0.13725490196078433,2.0537489106318225,0.0,0,0,0
B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,50,10.700000159442425,8.75000013038516,216.76222679018974,227.46222694963217,218.712226819247,0.0,1.0,1.7736722290273221,5.11094711923648,0.0,1.0,1.3500000201165676,0.9953488372093023,0.004651162790697674,0.06756839229906542,5.37223678651305,5.29212810248352,4.522300752367412,0.13488372093023257,0.13488372093023257,2.0537489106318234,0.0,0,0,0
B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,46,13.90000020712614,11.400000169873238,250.5694129317999,264.46941313892603,253.0694129690528,0.0,1.0,0.825184024410073,4.315628351319943,0.0,1.0,1.4000000208616257,0.996415770609319,0.0035842293906810036,0.06932155096043166,4.3435110325182205,4.5676393798720945,2.6560496843619146,0.13978494623655913,0.13978494623655913,2.0537489106318265,0.0,15,0,0
B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,47,9.750000145286322,7.750000115483999,277.1216763816774,286.8716765269637,279.1216764114797,0.0,1.0,1.2489637931007573,4.628409239465073,0.0,1.0,1.1500000171363354,1.0,0.0,0.07171320921428571,4.858872270089231,4.658959267345966,5.863258600703727,0.11734693877551021,0.11734693877551021,2.0537489106318216,0.0,0,0,0
B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,48,12.10000018030405,9.650000143796206,298.40237019583583,310.5023703761399,300.8523702323437,0.0,1.0,1.1188090245058673,4.578101624218562,0.0,1.0,1.5000000223517418,0.9917695473251029,0.00823045267489712,0.06800054648962656,5.197368949457468,5.523815793818891,2.6041202076319823,0.17695473251028807,0.17695473251028807,2.0537489106318247,0.0,10,0,0
B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,49,11.10000016540289,8.800000131130219,323.0750710889697,334.1750712543726,325.3750711232424,0.0,1.0,1.1649170855003546,4.618618466438759,0.0,1.0,1.5000000223517418,0.9955156950672646,0.004484304932735426,0.0684843731891892,6.052773477783424,6.1330567416287725,3.4369767565217604,0.15695067264573992,0.15695067264573992,2.053748910631823,0.0,9,0,0
