contrast_family,inference_scope,contrast,metric,a_label,b_label,condition_pairs,independent_init_groups,mean_delta_a_minus_b,median_delta_a_minus_b,sd_delta,bootstrap_95ci_low,bootstrap_95ci_high,exact_init_cluster_sign_flip_p,positive_pairs,negative_pairs,zero_pairs,holm_adjusted_p_within_scope
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__assertive,min_footprint_separation_m,B1,B0,5,5,-0.06069986861564967,0.0005694009517192011,0.15917981982665091,-0.20467885873826389,0.027036692587709864,0.75,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__assertive,solver_failure_fraction,B1,B0,5,5,-0.0009186917933300778,0.0,0.002172083680054115,-0.002876720386744444,0.00011203174232699287,1.0,2,1,2,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__assertive,supervisor_active_fraction,B1,B0,5,5,0.003394797294945079,0.0030808729139923108,0.0038777380955177464,0.0008215137204712175,0.006692840695497415,0.125,4,0,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__reactive,target_clearance_adjusted_completion_delay_s,B1,B0,5,5,0.360000005364418,0.10000000149011612,1.6738429088473796,-0.9000000134110451,1.5400000229477881,0.8125,4,1,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__reactive,min_footprint_separation_m,B1,B0,5,5,-0.1361938925026317,-0.011077255785004403,0.23104412419691361,-0.3481078327205167,-0.00016551984344193027,0.1875,1,4,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__reactive,solver_failure_fraction,B1,B0,5,5,-0.001239283136851523,-0.0005651482026799923,0.0016951455488181505,-0.002744153367459601,-0.00012926241857304997,0.125,0,4,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__reactive,supervisor_active_fraction,B1,B0,5,5,-0.010441148958209912,-0.0014203680782419736,0.016185293354053457,-0.02419289693375328,0.0013386336813114741,0.3125,1,4,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__adaptive__pooled,target_clearance_adjusted_completion_delay_s,B1,B0,10,5,0.10500000156462193,-0.10000000149011612,0.9725253640613997,-0.36500000543892386,0.7150000106543303,0.8125,4,6,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__adaptive__pooled,min_footprint_separation_m,B1,B0,10,5,-0.02115966825609562,0.005689654670011202,0.10512235408715753,-0.0974564730003262,0.024159021401779925,0.9375,6,4,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__adaptive__pooled,solver_failure_fraction,B1,B0,10,5,0.00036283939679596186,0.0,0.0014455322141150018,-3.4396457905267774e-05,0.0010131423028453533,0.5,4,4,2,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__adaptive__pooled,supervisor_active_fraction,B1,B0,10,5,-0.0009497975222557325,0.0014008125772831531,0.013274501157555714,-0.00898024279678276,0.005639263404333605,0.8125,6,4,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__assertive,target_clearance_adjusted_completion_delay_s,B1,B0,5,5,0.29000000432133677,-0.10000000149011612,1.3898741157279808,-0.6400000095367432,1.5500000230967999,0.9375,2,3,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__assertive,min_footprint_separation_m,B1,B0,5,5,0.004508068493836626,0.0003605115792150171,0.023164815920797395,-0.01358536175111209,0.024832874322210284,0.6875,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__assertive,solver_failure_fraction,B1,B0,5,5,-0.00011797102943387413,0.0,0.0005702719559676078,-0.0006355842690868068,0.00027450980392156857,0.875,2,2,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__assertive,supervisor_active_fraction,B1,B0,5,5,-0.004106181089155991,0.0013874837404249107,0.01833901281901432,-0.020752620717028002,0.007837711705617673,0.9375,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__reactive,target_clearance_adjusted_completion_delay_s,B1,B0,5,5,-0.0800000011920929,-0.20000000298023224,0.3327912308048504,-0.3200000047683716,0.20000000298023224,0.625,2,3,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__reactive,min_footprint_separation_m,B1,B0,5,5,-0.04682740500602787,0.011018797760807386,0.15060015112394107,-0.1815431704396452,0.033553456626906716,0.9375,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__reactive,solver_failure_fraction,B1,B0,5,5,0.0008436498230257978,0.0,0.0019489383881765169,-8.086188024011287e-05,0.0025959227276773794,0.75,2,2,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__reactive,supervisor_active_fraction,B1,B0,5,5,0.0022065860446445263,0.003062405412623509,0.005937303510847035,-0.002339522754869888,0.006852081949650592,0.5625,3,2,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B0__pooled,target_clearance_adjusted_completion_delay_s,adaptive,fixed_aggressive,10,5,-0.12500000186264515,-0.10000000149011612,0.9351916164070057,-0.745000011101365,0.3300000049173832,0.875,2,5,3,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B0__pooled,min_footprint_separation_m,adaptive,fixed_aggressive,10,5,-0.010572113739568022,-0.010760568825165462,0.043420249749974243,-0.015244683353141043,-0.005701775990331603,0.0625,4,6,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B0__pooled,solver_failure_fraction,adaptive,fixed_aggressive,10,5,4.578165810451336e-05,3.5015844669712866e-05,0.0003823693289991009,-0.00012074856759401376,0.0002834044944329993,0.875,5,2,3,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B0__pooled,supervisor_active_fraction,adaptive,fixed_aggressive,10,5,0.0007283244862175603,0.0013656179421187992,0.013497454918620477,-0.005793424228411973,0.008201209603523002,0.875,5,2,3,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__assertive,target_clearance_adjusted_completion_delay_s,adaptive,fixed_aggressive,5,5,-0.11000000163912774,0.0,0.7092249396281608,-0.6600000098347664,0.45000000670552254,1.0,1,2,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__assertive,min_footprint_separation_m,adaptive,fixed_aggressive,5,5,-0.03875644466846058,-0.03548078397795029,0.02982310577788366,-0.0647797254337303,-0.01890440871650754,0.0625,0,5,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__assertive,solver_failure_fraction,adaptive,fixed_aggressive,5,5,4.408023387929977e-05,0.0,0.00031412041325872594,-0.0002018719742731394,0.0002758220485581619,1.0,2,1,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__assertive,supervisor_active_fraction,adaptive,fixed_aggressive,5,5,0.0015982101591198727,0.0,0.009188038595516089,-0.005360962142883524,0.008232001917598203,1.0,2,1,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__reactive,target_clearance_adjusted_completion_delay_s,adaptive,fixed_aggressive,5,5,-0.14000000208616256,-0.20000000298023224,1.2100619999149014,-1.030000015348196,0.9100000135600567,0.75,1,3,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__reactive,min_footprint_separation_m,adaptive,fixed_aggressive,5,5,0.01761221718932453,0.004152318116642073,0.03696832138163227,-0.0032682144585900463,0.05139632651534263,0.375,4,1,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__reactive,solver_failure_fraction,adaptive,fixed_aggressive,5,5,4.7483082329726965e-05,7.003168933942573e-05,0.00047988051879757827,-0.0003689654404313165,0.00039193641057013053,0.75,3,1,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B0__reactive,supervisor_active_fraction,adaptive,fixed_aggressive,5,5,-0.00014156118668475214,0.0027312358842375983,0.01798877691612015,-0.01624474255306933,0.011955561439093649,1.0,3,1,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_medium__B0__pooled,target_clearance_adjusted_completion_delay_s,adaptive,fixed_medium,10,5,-0.19000000283122062,-0.12500000186264515,0.7294594758924297,-0.37500000558793545,-0.005000000074505806,0.25,4,5,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_medium__B0__pooled,min_footprint_separation_m,adaptive,fixed_medium,10,5,-0.016801721874180643,-0.0096564745533958,0.12289939265905499,-0.03364975123788735,-0.0012952437682244966,0.1875,4,6,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_medium__B0__pooled,solver_failure_fraction,adaptive,fixed_medium,10,5,-0.0008860648837269658,-8.79012692943295e-06,0.0019596659574190128,-0.0018854216415259445,3.9849138854807736e-05,0.375,3,5,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_medium__B0__pooled,supervisor_active_fraction,adaptive,fixed_medium,10,5,0.002565615007884771,0.001699968615964012,0.010324940787972255,0.00037782304306129553,0.0052941652415079725,0.125,5,4,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__assertive,target_clearance_adjusted_completion_delay_s,adaptive,fixed_medium,5,5,-0.010000000149011612,0.0,0.7676262225595335,-0.6000000089406967,0.5800000086426735,1.0,2,2,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__assertive,min_footprint_separation_m,adaptive,fixed_medium,5,5,-0.07698067622457101,-0.03654059540449017,0.12144921841078835,-0.17986754643571806,-0.0008195433139743357,0.1875,1,4,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__assertive,solver_failure_fraction,adaptive,fixed_medium,5,5,-0.0019531034298269987,-0.0003402445507708664,0.0023950309614969574,-0.003885054519672826,-0.00019889003164950055,0.125,0,4,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__assertive,supervisor_active_fraction,adaptive,fixed_medium,5,5,0.0015034485753861015,0.0,0.011595864979404808,-0.007605131491998195,0.010612028642770398,0.75,2,2,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__reactive,target_clearance_adjusted_completion_delay_s,adaptive,fixed_medium,5,5,-0.37000000551342965,-0.2500000037252903,0.7259476673327244,-0.9700000144541263,0.15000000223517418,0.375,2,3,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__reactive,min_footprint_separation_m,adaptive,fixed_medium,5,5,0.043377232476209726,0.003297595479090476,0.10090048360420788,-0.007065660546898544,0.1333508341035677,0.625,3,2,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__reactive,solver_failure_fraction,adaptive,fixed_medium,5,5,0.00018097366237306722,8.717787774174379e-05,0.00024094095088522292,1.0403474004802397e-05,0.0003896282410268506,0.25,3,1,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_medium__B0__reactive,supervisor_active_fraction,adaptive,fixed_medium,5,5,0.0036277814403834403,0.003399937231928024,0.0101279478016351,-0.004444108203353026,0.011063447836119535,0.5,3,2,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_conservative__B0__pooled,target_clearance_adjusted_completion_delay_s,adaptive,fixed_conservative,10,5,-0.0800000011920929,-0.1750000026077032,0.9059065576120086,-0.4950000073760748,0.31000000461935995,0.75,3,7,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_conservative__B0__pooled,min_footprint_separation_m,adaptive,fixed_conservative,10,5,-0.043278617742499616,-0.00895649276632482,0.10235154792717611,-0.11967166886552941,-0.000945369513962091,0.1875,3,7,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_conservative__B0__pooled,solver_failure_fraction,adaptive,fixed_conservative,10,5,-0.0014416792403750885,0.0,0.0024639106781917286,-0.003447702118032013,0.00010817497691818865,0.375,4,4,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_conservative__B0__pooled,supervisor_active_fraction,adaptive,fixed_conservative,10,5,0.0008123704910001528,0.0024001007007394964,0.013455379789708464,-0.005398814683320358,0.006131052808890094,0.8125,7,3,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__assertive,target_clearance_adjusted_completion_delay_s,adaptive,fixed_conservative,5,5,-0.04000000059604645,-0.15000000223517418,0.6416774986479628,-0.4600000068545341,0.5300000078976155,0.875,1,4,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__assertive,min_footprint_separation_m,adaptive,fixed_conservative,5,5,-0.07274353414506866,-0.00984375692466033,0.14395205556672205,-0.2016680131290781,-0.002121934429273287,0.125,1,4,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__assertive,solver_failure_fraction,adaptive,fixed_conservative,5,5,-0.0019519402760913255,-0.000457516339869281,0.0024946951183025734,-0.0038296843108616163,-7.419624132103518e-05,0.25,1,3,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__assertive,supervisor_active_fraction,adaptive,fixed_conservative,5,5,0.0019833531809665406,0.0020689655172413945,0.009199950163387044,-0.005478213631662632,0.008175192492088956,0.6875,4,1,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__reactive,target_clearance_adjusted_completion_delay_s,adaptive,fixed_conservative,5,5,-0.12000000178813934,-0.20000000298023224,1.196139641780872,-0.9900000147521496,0.9200000137090683,0.75,2,3,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__reactive,min_footprint_separation_m,adaptive,fixed_conservative,5,5,-0.013813701339930562,-0.0018527170356807954,0.02603826066656004,-0.036808283584111166,0.0023857453675732556,0.375,2,3,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__reactive,solver_failure_fraction,adaptive,fixed_conservative,5,5,-0.0009314182046588515,7.003168933942573e-05,0.0026048044212633407,-0.0032957947087239995,0.00038535334878809553,1.0,3,1,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_conservative__B0__reactive,supervisor_active_fraction,adaptive,fixed_conservative,5,5,-0.000358612198966235,0.0027312358842375983,0.017868665807289758,-0.01636633916951131,0.01202851149753092,0.9375,3,2,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B1__pooled,target_clearance_adjusted_completion_delay_s,adaptive,fixed_aggressive,10,5,0.2850000042468309,0.02500000037252903,0.8714770478080638,-0.21500000320374965,1.08500001616776,0.9375,5,3,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B1__pooled,min_footprint_separation_m,adaptive,fixed_aggressive,10,5,0.007690718675246133,0.0035111279603591283,0.02144833363817059,-0.0066476603899646046,0.02001166946156787,0.375,7,3,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B1__pooled,solver_failure_fraction,adaptive,fixed_aggressive,10,5,0.00031915346414586765,0.0,0.0012024819358575094,1.2131527867934381e-05,0.0008713929315549492,0.125,4,3,3,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_aggressive__B1__pooled,supervisor_active_fraction,adaptive,fixed_aggressive,10,5,-0.0042161143130280635,-0.00034873583260680574,0.01270028145629299,-0.016110276681819954,0.0032915415333823056,0.9375,3,5,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__assertive,target_clearance_adjusted_completion_delay_s,adaptive,fixed_aggressive,5,5,0.3200000047683716,0.0,1.0359778144271927,-0.24000000357627868,1.2600000187754632,1.0,1,2,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__assertive,min_footprint_separation_m,adaptive,fixed_aggressive,5,5,0.0008028972426637138,0.003243702139862803,0.01784249599979527,-0.01452391440358063,0.01196291313613087,0.875,4,1,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__assertive,solver_failure_fraction,adaptive,fixed_aggressive,5,5,-0.00011773586880765765,0.0,0.00040454901758195,-0.0004834745901585613,0.00011197154662225834,1.0,2,1,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__assertive,supervisor_active_fraction,adaptive,fixed_aggressive,5,5,-0.004094150629418097,0.0,0.013190257471757293,-0.01603004214762812,0.0029033267285431376,1.0,2,1,2,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__reactive,target_clearance_adjusted_completion_delay_s,adaptive,fixed_aggressive,5,5,0.2500000037252903,0.10000000149011612,0.7952986978802172,-0.3500000052154064,0.9400000140070915,0.5625,4,1,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__reactive,min_footprint_separation_m,adaptive,fixed_aggressive,5,5,0.014578540107828553,0.0037785537808554537,0.024456285734991843,-0.003576028524549679,0.03498383933324654,0.4375,3,2,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__reactive,solver_failure_fraction,adaptive,fixed_aggressive,5,5,0.000756042797099393,0.0,0.0016163463994129448,-6.451596738874417e-05,0.0022160814051736554,0.5,2,2,1,1.0
adaptive_vs_fixed,adaptive_vs_fixed_style_descriptive,adaptive_minus_fixed_aggressive__B1__reactive,supervisor_active_fraction,adaptive,fixed_aggressive,5,5,-0.004338077996638029,-0.00136554621848739,0.013744035265664725,-0.016612642981427134,0.005615307490583565,0.5625,1,4,0,1.0
adaptive_vs_fixed,adaptive_vs_fixed_pooled_primary,adaptive_minus_fixed_medium__B1__pooled,target_clearance_adjusted_completion_delay_s,adaptive,fixed_medium,10,5,-0.38000000566244124,-0.02500000037252903,1.056514200324935,-1.08500001616776,0.3250000048428774,0.4375,3,5,2,1.0
